X,Y,Z,formation_id,formation
-691980.0154,4543461.256,198.17201,40,Upper Devonian Siliciclastics
-690552.0793,4532841.007,161.70801,40,Upper Devonian Siliciclastics
-687747.0735,4533241.628,117.824005,40,Upper Devonian Siliciclastics
-704449.2663,4530437.708,357.99902,67,Visean Shales
-697313.0973,4530973.659,304.63202,67,Visean Shales
-699759.6756,4530704.723,416.212,67,Visean Shales
-683954.2147,4547973.498,383.03802,1,Tournaisian Plutonites
-683986.3606,4529297.965,293.588,1,Tournaisian Plutonites
-693960.3446,4532027.301,252.16402,1,Tournaisian Plutonites
-700077.2211,4544308.012,295.30103,1,Tournaisian Plutonites
-678933.0669,4538454.459,300.5,1,Tournaisian Plutonites
-703848.8778,4537799.106,330.984,51,Upper Carboniferous Volcanics
-694833.3878,4531125.784,229.48901,51,Upper Carboniferous Volcanics
-698792.7946,4530772.191,392.35202,51,Upper Carboniferous Volcanics
-706447.3818,4548781.148,361.96002,51,Upper Carboniferous Volcanics
-700469.227,4545513.144,396.68802,51,Upper Carboniferous Volcanics
-698893.8322,4549231.973,212.33601,51,Upper Carboniferous Volcanics
-707496.7607,4548042.601,408.74802,76,Mid Carboniferous Shales
-705359.028,4548251.517,362.66452,76,Mid Carboniferous Shales
-706207.0,4546897.0,456.0,11,Tournaisian Plutonites
-705998.0,4543672.0,353.0,12,Tournaisian Plutonites
-703401.0,4542038.0,372.0,13,Tournaisian Plutonites
-704532.0,4539023.0,304.0,14,Tournaisian Plutonites
-699548.0,4541703.0,259.0,15,Tournaisian Plutonites
-694019.0,4540824.0,379.0,16,Tournaisian Plutonites
-688700.0,4539274.0,356.0,17,Tournaisian Plutonites
-696951.0,4539107.0,452.0,18,Tournaisian Plutonites
-697831.0,4535589.0,277.0,19,Tournaisian Plutonites
-693684.0,4533536.0,317.0,20,Tournaisian Plutonites
-703066.0,4532782.0,441.0,21,Tournaisian Plutonites
-697956.0,4531861.0,370.0,22,Tournaisian Plutonites
-692972.0,4529851.0,258.0,23,Tournaisian Plutonites
-687611.0,4529599.0,278.0,24,Tournaisian Plutonites
