X,Y,Z,azimuth,dip,polarity,formation,formation_id
-704840,4530654,344,283,60,1,Upper Carboniferous Volcanics,51
-697098,4543927,271,284,55,1,Upper Devonian Siliciclastics,40
-681850,4530352,161,286,47,1,Upper Devonian Siliciclastics,40
-681855,4530372,286,318,30,1,Upper Devonian Siliciclastics,40
-698630,4538978,367,0,0,1,Tournaisian Plutonites,1
-705656,4548904,357,134,38,1,Mid Carboniferous Shales,76
-703766,4548057,393,8,80,1,Upper Carboniferous Volcanics,503
-702385,4548338,339,17,80,1,Upper Carboniferous Volcanics,459
-701112,4548706,372,33,80,1,Upper Carboniferous Volcanics,462
-699803,4548937,304,15,80,1,Upper Carboniferous Volcanics,465
-702240,4530674,339,178,80,1,Upper Carboniferous Volcanics,204
-700747,4530651,351,175,80,1,Upper Carboniferous Volcanics,201
-698793,4530772,392,152,80,1,Upper Carboniferous Volcanics,197
-696319,4531002,265,177,80,1,Upper Carboniferous Volcanics,192
-694922,4530496,232,20,80,1,Upper Carboniferous Volcanics,496
-696661,4529687,268,29,80,1,Upper Carboniferous Volcanics,492
-698831,4528912,289,90,80,1,Upper Carboniferous Volcanics,499
