X,Y,Z,azimuth,dip,polarity,formation,formation_id
-704840,4530654,344,283,60,1,Upper Carboniferous Volcanics,51
-698630,4538978,367,0,0,1,Tournaisian Plutonites,1
-704875,4547579,421,230,-80,1,Tournaisian Plutonites,239
-704083,4546109,456,278,-80,1,Tournaisian Plutonites,243
-703527,4545376,399,155,-80,1,Tournaisian Plutonites,250
-702201,4545068,373,190,-80,1,Tournaisian Plutonites,253
-702590,4543987,355,240,-80,1,Tournaisian Plutonites,256
-701976,4542406,371,174,-80,1,Tournaisian Plutonites,260
-699648,4544262,271,5,-80,1,Tournaisian Plutonites,118
-695279,4543351,215,165,-80,1,Tournaisian Plutonites,472
-692429,4541732,219,230,-80,1,Tournaisian Plutonites,280
-688958,4540604,287,180,-80,1,Tournaisian Plutonites,288
-687674,4537940,317,332,-80,1,Tournaisian Plutonites,304
-693327,4538250,320,340,-80,1,Tournaisian Plutonites,140
-695596,4536354,311,235,-80,1,Tournaisian Plutonites,147
-692417,4534570,344,235,-80,1,Tournaisian Plutonites,156
-689300,4530782,329,212,-80,1,Tournaisian Plutonites,42
-685612,4529745,350,193,-80,1,Tournaisian Plutonites,34
-702086,4547617,305,57,-80,1,Tournaisian Plutonites,456
-702050,4546343,388,90,-80,1,Tournaisian Plutonites,450
-699276,4544496,301,1,-80,1,Tournaisian Plutonites,440
-695971,4545025,228,17,-80,1,Tournaisian Plutonites,432
-690920,4544663,270,2,-80,1,Tournaisian Plutonites,365
-685649,4542597,305,10,-80,1,Tournaisian Plutonites,352
-680364,4541714,311,35,-80,1,Tournaisian Plutonites,325
-678590,4538774,303,136,-80,1,Tournaisian Plutonites,410
-681204,4536335,298,116,-80,1,Tournaisian Plutonites,402
-681857,4533030,154,77,-80,1,Tournaisian Plutonites,394
-684465,4533598,139,185,-80,1,Tournaisian Plutonites,428
-686429,4532274,141,105,-80,1,Tournaisian Plutonites,85
-684187,4531110,220,32,-80,1,Tournaisian Plutonites,91
-681889,4530922,195,0,-80,1,Tournaisian Plutonites,96
-679527,4530507,127,339,-80,1,Tournaisian Plutonites,389
