X,Y,Z,formation_id,formation
-683954.2147,4547973.498,383.03802,1,Tournaisian Plutonites
-683986.3606,4529297.965,293.588,1,Tournaisian Plutonites
-693960.3446,4532027.301,252.16402,1,Tournaisian Plutonites
-700077.2211,4544308.012,295.30103,1,Tournaisian Plutonites
-678933.0669,4538454.459,300.5,1,Tournaisian Plutonites
-703848.8778,4537799.106,330.984,51,Upper Carboniferous Volcanics
-694833.3878,4531125.784,229.48901,51,Upper Carboniferous Volcanics
-698792.7946,4530772.191,392.35202,51,Upper Carboniferous Volcanics
-706447.3818,4548781.148,361.96002,51,Upper Carboniferous Volcanics
-700469.227,4545513.144,396.68802,51,Upper Carboniferous Volcanics
-698893.8322,4549231.973,212.33601,51,Upper Carboniferous Volcanics
-704388.0,4548761.0,424.0,1,Upper Carboniferous Volcanics
-702784.0,4548667.0,417.0,2,Upper Carboniferous Volcanics
-701587.0,4548986.0,415.0,3,Upper Carboniferous Volcanics
-700196.0,4549062.0,368.0,4,Upper Carboniferous Volcanics
-705633.0,4529553.0,309.0,5,Upper Carboniferous Volcanics
-703786.0,4530306.0,372.0,6,Upper Carboniferous Volcanics
-701928.0,4529213.0,299.0,7,Upper Carboniferous Volcanics
-699932.0,4530083.0,399.0,8,Upper Carboniferous Volcanics
-697469.0,4530115.0,337.0,9,Upper Carboniferous Volcanics
-695144.0,4530816.0,254.0,10,Upper Carboniferous Volcanics
-706207.0,4546897.0,456.0,11,Tournaisian Plutonites
-705998.0,4543672.0,353.0,12,Tournaisian Plutonites
-703401.0,4542038.0,372.0,13,Tournaisian Plutonites
-704532.0,4539023.0,304.0,14,Tournaisian Plutonites
-699548.0,4541703.0,259.0,15,Tournaisian Plutonites
-694019.0,4540824.0,379.0,16,Tournaisian Plutonites
-688700.0,4539274.0,356.0,17,Tournaisian Plutonites
-696951.0,4539107.0,452.0,18,Tournaisian Plutonites
-697831.0,4535589.0,277.0,19,Tournaisian Plutonites
-693684.0,4533536.0,317.0,20,Tournaisian Plutonites
-703066.0,4532782.0,441.0,21,Tournaisian Plutonites
-697956.0,4531861.0,370.0,22,Tournaisian Plutonites
-692972.0,4529851.0,258.0,23,Tournaisian Plutonites
-687611.0,4529599.0,278.0,24,Tournaisian Plutonites
-699294.0,4546462.0,410.0,25,Tournaisian Plutonites
-694394.0,4548221.0,281.0,26,Tournaisian Plutonites
-690122.0,4545876.0,366.0,27,Tournaisian Plutonites
-687986.0,4547928.0,453.0,28,Tournaisian Plutonites
-687315.0,4544284.0,355.0,29,Tournaisian Plutonites
-681578.0,4548305.0,431.0,30,Tournaisian Plutonites
-679483.0,4544452.0,328.0,31,Tournaisian Plutonites
-678562.0,4537541.0,321.0,32,Tournaisian Plutonites
-679735.0,4533395.0,229.0,33,Tournaisian Plutonites
-684258.0,4532306.0,180.0,34,Tournaisian Plutonites
